10 , 411, 6934, 5402
20 , 411, 3861, 2919
30 , 375, 2179, 1766
40 , 420, 2136, 1825
50 , 412, 1811, 1427
60 , 364, 1254, 1128
70 , 284, 753,  819
80 , 473, 907,  897
90 , 371, 967,  1008
100, 428, 1064, 1158
